name,box_office,genres,average,ratings_count,collect_count,wish_count,reviews_count
重返20岁,36606,"[""喜剧"",""爱情"",""奇幻""]",7.2,160636,183393,16034,1406
我的少女时代,35940,"[""喜剧"",""爱情""]",7.8,243194,270657,25792,3052
小时代2：青木时代,29630,"[""喜剧"",""爱情""]",4.6,79179,89729,9241,701
痞子英雄2：黎明升起,20433,"[""剧情"",""动作"",""犯罪""]",5.4,32224,37775,2621,112
大笑江湖,15154,"[""动作"",""古装""]",4.6,58178,72609,3418,423
爱,13673,"[""剧情"",""爱情""]",8.5,43173,53942,70921,520
天台爱情,11983,"[""喜剧"",""动作"",""爱情""]",6.8,104062,117615,12323,1693
大灌篮,9583,"[""喜剧"",""运动""]",5.2,80857,108305,1238,414
痞子英雄之全面开战,8745,"[""剧情"",""动作"",""犯罪""]",6.4,56975,69068,5673,314
那些年，我们一起追的女孩,7651,"[""剧情"",""喜剧"",""爱情""]",8.1,462040,595310,43318,5478
曼德拉,68,"[""剧情"",""传记""]",6.9,2371,2900,2799,52
战鸽快飞,39,"[""动画"",""冒险"",""喜剧""]",6.6,16668,22775,919,21
神秘群岛,28,"[""剧情"",""恐怖"",""悬疑""]",6.6,3143,4094,1515,41
X战警3：背水一战,16,"[""动作"",""科幻"",""惊悚""]",7.5,106579,138816,5247,133
哈利·波特与凤凰社,12,"[""奇幻"",""冒险""]",8.6,203927,277535,6884,152
007：大战皇家赌场,11,"[""动作"",""惊悚"",""犯罪""]",7.4,85564,114320,5950,252
虎胆龙威4,10,"[""动作"",""犯罪"",""惊悚""]",8.1,42048,56485,6088,65
风暴突击者,6,"[""动作"",""冒险"",""家庭""]",5.9,3911,4987,539,21
哈利·波特与密室,6,"[""奇幻"",""冒险""]",8.1,152264,208164,2864,58
王者之心,6,"[""剧情"",""动作"",""爱情""]",7.1,11884,15873,4502,119
白色星球,4,"[""纪录片""]",8.7,3341,4655,3100,41
童年,4,"[""剧情""]",7.8,151,200,478,2
花样年华,3,"[""剧情"",""爱情""]",8.4,202431,284388,36600,990
空中决战,2,"[""动作"",""剧情"",""奇幻""]",7.4,98,122,114,0
单刀直入,2,"[""动作"",""犯罪"",""惊悚""]",6.7,4584,5746,2505,20
憨豆的黄金周,2,"[""喜剧"",""家庭""]",7.8,67223,90482,4168,197
世界,1,"[""剧情""]",7.2,12989,19301,6654,156
红颜,1,"[""剧情""]",7.9,6832,9281,6045,89
逃之夭夭,1,"[""犯罪"",""剧情"",""爱情""]",6.9,14460,20020,4758,76
紫蝴蝶,1,"[""剧情"",""历史"",""战争""]",6.4,4906,7154,4419,35
圣斗士星矢：圣域传说,3787,"[""动画""]",6.3,15026,16691,2640,146
垫底辣妹,3758,"[""剧情"",""家庭""]",8.1,107414,119003,26318,1147
山河故人,3222,"[""剧情"",""家庭""]",7.8,95905,108520,28494,1675
宇宙英雄之超银河传说,2902,"[""动作"",""冒险"",""家庭""]",6.9,2817,3378,1674,43
名侦探柯南2011：沉默的15分钟,2668,"[""动画"",""悬疑""]",6.5,49531,61074,5770,276
樱桃小丸子：来自意大利的少年,2588,"[""剧情"",""动画""]",7.1,10702,11939,5228,98
蜡笔小新：梦境世界大突击,2121,"[""喜剧"",""动画""]",7.4,3003,3230,1790,48
奥特曼：超决战！贝利亚尔银河帝国,1957,"[""动作"",""科幻""]",6.8,146,176,48,1
隐婚男女,1407,"[""剧情"",""爱情""]",5.7,44602,61211,7493,232
哆啦A梦：大雄的奇幻大冒险,1298,"[""科幻"",""动画"",""冒险""]",7.8,1119,1481,180,1
误入歧途,138,"[""动作""]",5.7,532,718,62,12
战·鼓,30,"[""犯罪"",""剧情""]",6.3,4014,5682,568,54
勇闯16街区,17,"[""动作"",""犯罪"",""剧情""]",7.1,15906,21823,3146,66
列车惊魂,7,"[""动作""]",5.8,477,686,83,11
赤壁(上),27686,"[""动作"",""冒险"",""剧情""]",6.3,111906,152047,3881,1674
赏金猎人,21343,"[""剧情"",""喜剧"",""动作""]",5.1,18523,19210,6514,299
分手合约,19285,"[""爱情""]",5.7,112745,136230,15952,695
大明猩,11282,"[""剧情"",""喜剧"",""运动""]",5.5,12494,14322,2348,117
非常完美,9199,"[""喜剧"",""爱情""]",6.1,147348,197185,9484,652
雪国列车,7486,"[""剧情"",""动作"",""科幻""]",7.2,140610,164572,22988,1038
集结号,7242,"[""剧情"",""传记"",""历史""]",7.8,103043,138567,5355,1017
